Date,Open,High,Low,Close,Adj Close,Volume
2020-07-20,0.700270,0.701700,0.697496,0.700500,0.700500,0
2020-07-21,0.702459,0.711997,0.701620,0.702593,0.702593,0
2020-07-22,0.713980,0.718112,0.711380,0.713560,0.713560,0
2020-07-23,0.713870,0.716178,0.709330,0.714082,0.714082,0
2020-07-24,0.709910,0.712606,0.706514,0.710010,0.710010,0
2020-07-27,0.710000,0.714970,0.709819,0.709819,0.709819,0
2020-07-28,0.715809,0.717618,0.711470,0.715900,0.715900,0
2020-07-29,0.716080,0.719321,0.714970,0.716025,0.716025,0
2020-07-30,0.717600,0.718700,0.712410,0.717170,0.717170,0
2020-07-31,0.720260,0.722909,0.715460,0.720368,0.720368,0
2020-08-03,0.714771,0.715200,0.707729,0.714689,0.714689,0
2020-08-04,0.711630,0.715860,0.710651,0.711794,0.711794,0
2020-08-05,0.717690,0.723940,0.716740,0.717710,0.717710,0
2020-08-06,0.720000,0.723000,0.717610,0.719910,0.719910,0
2020-08-07,0.722960,0.724300,0.716010,0.723100,0.723100,0
2020-08-10,0.715758,0.718350,0.714090,0.715712,0.715712,0
2020-08-11,0.715530,0.719100,0.714630,0.715800,0.715800,0
2020-08-12,0.714900,0.717250,0.711040,0.714520,0.714520,0
2020-08-13,0.717103,0.718809,0.715690,0.716486,0.716486,0
2020-08-14,0.714790,0.717310,0.713300,0.714880,0.714880,0
2020-08-17,0.719400,0.722700,0.717210,0.719259,0.719259,0
2020-08-18,0.721522,0.726470,0.720990,0.721813,0.721813,0
2020-08-19,0.725360,0.727600,0.722860,0.725795,0.725795,0
2020-08-20,0.718458,0.719400,0.713750,0.718804,0.718804,0
2020-08-21,0.720622,0.721605,0.714070,0.720612,0.720612,0
2020-08-24,0.716091,0.720409,0.715569,0.716137,0.716137,0
2020-08-25,0.716880,0.719300,0.715400,0.716890,0.716890,0
2020-08-26,0.719820,0.723118,0.718830,0.719932,0.719932,0
2020-08-27,0.724470,0.729012,0.721910,0.724501,0.724501,0
2020-08-28,0.726992,0.735781,0.725640,0.726990,0.726990,0
2020-08-31,0.737039,0.739990,0.734220,0.737300,0.737300,0
2020-09-01,0.738110,0.741300,0.736830,0.738100,0.738100,0
2020-09-02,0.737650,0.738100,0.730210,0.737849,0.737849,0
2020-09-03,0.732900,0.733514,0.726980,0.733111,0.733111,0
2020-09-04,0.725900,0.729900,0.722410,0.725584,0.725584,0
2020-09-07,0.728120,0.729874,0.727130,0.728221,0.728221,0
